rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
141,frame_0313.jpg,125.2,0.4371,0.7833,0.125,0.04,2,1,False,False
142,frame_0214.jpg,85.6,0.436,0.5891,0.125,0.52,3,1,False,False
143,frame_0370.jpg,148.0,0.4352,0.5544,0.5,0.04,9,4,False,False
144,frame_0318.jpg,127.2,0.435,0.474,0.5,0.24,7,4,False,False
145,frame_0305.jpg,122.0,0.433,0.5291,0.375,0.28,6,3,False,False
146,frame_0172.jpg,68.8,0.4316,0.5532,0.25,0.4,6,2,False,False
147,frame_0207.jpg,82.8,0.4303,0.3905,0.25,0.8,4,2,False,False
148,frame_0304.jpg,121.6,0.4294,0.5058,0.375,0.32,7,3,False,False
149,frame_0279.jpg,111.6,0.4284,0.5628,0.25,0.36,5,2,False,False
150,frame_0124.jpg,49.6,0.4255,0.4291,0.25,0.68,5,2,False,False
151,frame_0023.jpg,9.2,0.4203,0.2906,0.25,1.0,5,2,False,False
152,frame_0090.jpg,36.0,0.4188,0.4686,0.375,0.36,5,3,False,False
153,frame_0198.jpg,79.2,0.4183,0.5855,0.125,0.44,2,1,False,False
154,frame_0390.jpg,156.0,0.4182,0.5794,0.375,0.08,8,3,False,False
155,frame_0183.jpg,73.2,0.4141,0.6622,0.25,0.04,4,2,False,False
156,frame_0273.jpg,109.2,0.4141,0.4802,0.5,0.12,5,4,False,False
157,frame_0302.jpg,120.8,0.4136,0.4422,0.375,0.4,6,3,False,False
158,frame_0171.jpg,68.4,0.4119,0.4228,0.375,0.44,5,3,False,False
159,frame_0120.jpg,48.0,0.4106,0.3882,0.375,0.52,5,3,False,False
160,frame_0170.jpg,68.0,0.4105,0.404,0.375,0.48,8,3,False,False
161,frame_0229.jpg,91.6,0.4072,0.4823,0.5,0.08,8,4,False,False
162,frame_0314.jpg,125.6,0.4061,0.4802,0.5,0.08,6,4,False,False
163,frame_0215.jpg,86.0,0.4056,0.3943,0.375,0.48,6,3,False,False
164,frame_0232.jpg,92.8,0.4035,0.4271,0.5,0.2,6,4,False,False
165,frame_0123.jpg,49.2,0.4031,0.4001,0.25,0.64,5,2,False,False
166,frame_0322.jpg,128.8,0.4027,0.4413,0.5,0.16,7,4,False,False
167,frame_0399.jpg,159.6,0.4022,0.5424,0.25,0.28,7,2,False,False
168,frame_0118.jpg,47.2,0.3996,0.3982,0.375,0.44,6,3,False,False
169,frame_0132.jpg,52.8,0.3978,0.3206,0.125,1.0,5,1,False,False
170,frame_0224.jpg,89.6,0.3975,0.5969,0.25,0.12,5,2,False,False
171,frame_0211.jpg,84.4,0.3965,0.387,0.25,0.64,4,2,False,False
172,frame_0375.jpg,150.0,0.3956,0.4862,0.375,0.2,9,3,False,False
173,frame_0233.jpg,93.2,0.3952,0.4694,0.375,0.24,9,3,False,False
174,frame_0325.jpg,130.0,0.3921,0.4682,0.5,0.04,6,4,False,False
175,frame_0200.jpg,80.0,0.3912,0.4245,0.25,0.52,3,2,False,False
176,frame_0216.jpg,86.4,0.383,0.365,0.375,0.44,4,3,False,False
177,frame_0100.jpg,40.0,0.3821,0.5232,0.375,0.04,6,3,False,False
178,frame_0223.jpg,89.2,0.3817,0.5494,0.25,0.16,7,2,False,False
179,frame_0098.jpg,39.2,0.3805,0.4449,0.5,0.04,5,4,False,False
180,frame_0088.jpg,35.2,0.3795,0.358,0.375,0.44,5,3,False,False
181,frame_0112.jpg,44.8,0.3752,0.5955,0.125,0.2,4,1,False,False
182,frame_0028.jpg,11.2,0.3681,0.2613,0.125,1.0,3,1,False,False
183,frame_0189.jpg,75.6,0.3661,0.4753,0.375,0.08,5,3,False,False
184,frame_0281.jpg,112.4,0.3654,0.4048,0.25,0.44,4,2,False,False
185,frame_0009.jpg,3.6,0.365,0.2551,0.125,1.0,4,1,False,False
186,frame_0395.jpg,158.0,0.3635,0.454,0.375,0.12,8,3,False,False
187,frame_0371.jpg,148.4,0.36,0.3881,0.5,0.08,6,4,False,False
188,frame_0204.jpg,81.6,0.3589,0.2958,0.25,0.68,4,2,False,False
189,frame_0309.jpg,123.6,0.3567,0.3654,0.5,0.12,7,4,False,False
190,frame_0391.jpg,156.4,0.3547,0.4684,0.375,0.04,8,3,False,False
191,frame_0269.jpg,107.6,0.3534,0.4658,0.375,0.04,6,3,False,False
192,frame_0384.jpg,153.6,0.3529,0.4918,0.25,0.16,6,2,False,False
193,frame_0382.jpg,152.8,0.3517,0.4463,0.375,0.08,7,3,False,False
194,frame_0019.jpg,7.6,0.3507,0.2263,0.125,1.0,4,1,False,False
195,frame_0283.jpg,113.2,0.3499,0.4168,0.125,0.52,6,1,False,False
196,frame_0220.jpg,88.0,0.3483,0.4347,0.25,0.28,4,2,False,False
197,frame_0087.jpg,34.8,0.3474,0.3527,0.25,0.48,5,2,False,False
198,frame_0083.jpg,33.2,0.3463,0.2867,0.25,0.64,7,2,False,False
199,frame_0323.jpg,129.2,0.3458,0.4186,0.375,0.12,7,3,False,False
200,frame_0381.jpg,152.4,0.3456,0.4502,0.375,0.04,9,3,False,False
201,frame_0386.jpg,154.4,0.344,0.367,0.375,0.24,7,3,False,False
202,frame_0324.jpg,129.6,0.3435,0.4299,0.375,0.08,6,3,False,False
203,frame_0091.jpg,36.4,0.3408,0.4037,0.25,0.32,4,2,False,False
204,frame_0385.jpg,154.0,0.3395,0.4489,0.25,0.2,4,2,False,False
205,frame_0222.jpg,88.8,0.3371,0.4443,0.25,0.2,4,2,False,False
206,frame_0212.jpg,84.8,0.3366,0.2832,0.25,0.6,5,2,False,False
207,frame_0205.jpg,82.0,0.3332,0.3035,0.125,0.72,3,1,False,False
208,frame_0092.jpg,36.8,0.3323,0.3277,0.375,0.28,5,3,False,False
209,frame_0282.jpg,112.8,0.3321,0.3972,0.125,0.48,4,1,False,False
210,frame_0179.jpg,71.6,0.3318,0.3907,0.375,0.12,9,3,False,False
211,frame_0020.jpg,8.0,0.3316,0.1881,0.125,1.0,3,1,False,False
212,frame_0105.jpg,42.0,0.3273,0.3976,0.375,0.08,5,3,False,False
213,frame_0119.jpg,47.6,0.3235,0.305,0.25,0.48,5,2,False,False
214,frame_0217.jpg,86.8,0.3234,0.3367,0.25,0.4,4,2,False,False
215,frame_0176.jpg,70.4,0.3216,0.3973,0.25,0.24,8,2,False,False
216,frame_0267.jpg,106.8,0.3211,0.4442,0.25,0.12,6,2,False,False
217,frame_0295.jpg,118.0,0.3192,0.3663,0.0,0.68,5,0,False,False
218,frame_0394.jpg,157.6,0.3173,0.4526,0.25,0.08,4,2,False,False
219,frame_0097.jpg,38.8,0.3154,0.3738,0.375,0.08,7,3,False,False
220,frame_0228.jpg,91.2,0.3131,0.3853,0.375,0.04,8,3,False,False
221,frame_0018.jpg,7.2,0.311,0.2221,0.0,1.0,3,0,False,False
222,frame_0104.jpg,41.6,0.3104,0.3477,0.375,0.12,6,3,False,False
223,frame_0199.jpg,79.6,0.309,0.351,0.125,0.48,3,1,False,False
224,frame_0226.jpg,90.4,0.3072,0.4484,0.25,0.04,5,2,False,False
225,frame_0093.jpg,37.2,0.307,0.368,0.25,0.24,5,2,False,False
226,frame_0373.jpg,149.2,0.3053,0.3966,0.25,0.16,5,2,False,False
227,frame_0101.jpg,40.4,0.3042,0.3513,0.375,0.08,7,3,False,False
228,frame_0296.jpg,118.4,0.3039,0.3519,0.0,0.64,4,0,False,False
229,frame_0219.jpg,87.6,0.3022,0.3264,0.25,0.32,3,2,False,False
230,frame_0084.jpg,33.6,0.2993,0.2836,0.125,0.6,7,1,False,False
231,frame_0206.jpg,82.4,0.2958,0.2125,0.125,0.76,4,1,False,False
232,frame_0393.jpg,157.2,0.2908,0.3407,0.375,0.04,6,3,False,False
233,frame_0181.jpg,72.4,0.2889,0.4119,0.25,0.04,4,2,False,False
234,frame_0271.jpg,108.4,0.287,0.408,0.25,0.04,5,2,False,False
235,frame_0201.jpg,80.4,0.286,0.273,0.125,0.56,3,1,False,False
236,frame_0085.jpg,34.0,0.2851,0.2712,0.125,0.56,6,1,False,False
237,frame_0195.jpg,78.0,0.2841,0.2902,0.25,0.32,4,2,False,False
238,frame_0319.jpg,127.6,0.2825,0.3779,0.125,0.28,5,1,False,False
239,frame_0221.jpg,88.4,0.2774,0.3089,0.25,0.24,5,2,False,False
240,frame_0109.jpg,43.6,0.2756,0.3692,0.25,0.08,6,2,False,False
241,frame_0218.jpg,87.2,0.2674,0.3158,0.125,0.36,5,1,False,False
242,frame_0184.jpg,73.6,0.2637,0.4205,0.125,0.08,7,1,False,False
243,frame_0383.jpg,153.2,0.2628,0.4026,0.125,0.12,6,1,False,False
244,frame_0108.jpg,43.2,0.2529,0.3397,0.25,0.04,7,2,False,False
245,frame_0208.jpg,83.2,0.2484,0.1928,0.0,0.76,5,0,False,False
246,frame_0103.jpg,41.2,0.238,0.2619,0.25,0.16,7,2,False,False
247,frame_0111.jpg,44.4,0.2364,0.4088,0.0,0.16,4,0,False,False
248,frame_0310.jpg,124.0,0.2237,0.3403,0.125,0.08,6,1,False,False
249,frame_0311.jpg,124.4,0.2155,0.265,0.25,0.04,5,2,False,False
250,frame_0372.jpg,148.8,0.2144,0.3058,0.125,0.12,6,1,False,False
251,frame_0110.jpg,44.0,0.2135,0.3041,0.125,0.12,6,1,False,False
252,frame_0180.jpg,72.0,0.189,0.2709,0.125,0.08,5,1,False,False
253,frame_0190.jpg,76.0,0.1822,0.2414,0.125,0.12,6,1,False,False
254,frame_0102.jpg,40.8,0.1791,0.3102,0.0,0.12,5,0,False,False
255,frame_0272.jpg,108.8,0.178,0.3241,0.0,0.08,4,0,False,False
256,frame_0191.jpg,76.4,0.1686,0.1982,0.125,0.16,6,1,False,False
